channel_login,message_count
dima_wallhacks,596301
locomotyvas,200062
hellderis,166510
lturepublic,80027
rekonasrs,79764
sponsorius,71062
knok1zygis,67885
thexanos,67457
pauldemiko,55104
vieversys97,50392
sauliuslol,43013
elthebird,41111
pmplt,39532
etasofija,33185
djnipplecut,31477
kerrakatt,29713
gambler91,29680
razavox,25724
theleoncj,24587
gam3derp,20995
lithuaniansisters,20023
nemonas20,20001
bymas,15315
dariuscxz,15015
taiyakis,13584
magilacs,13484
raven_scoffee,13476
xiverisx,13295
champyowl,12800
cestovas,11838
karaliuslol,9766
foxassltu,9487
stada77,8267
austejasubm,8172
taifunass,8077
movementless,7776
laimegr,7509
henrymatch,7174
qkiira__,6981
godutee7,6843
moncixas,6842
gabriri_,6768
quattronas,6582
gudrusapuokas,6468
moondefendertv,6056
rijouku,5989
domasas_,5945
petrauskasrc,5128
thegalilas,5120
thelazyscorpion,4870
dilzze,4651
k1xe,4274
matasu_,4237
w1stonas,3973
stendupaspeek,3857
pacesukas,3799
forzetukas,3626
lunema_ema,3497
jjarnas,3064
jaunutis1,3034
laurikiki,2978
zhaismas,2942
hushxv,2406
cost7y,2334
generalspoker,2315
arunasd,2217
proper_,2069
ledzh1t,2052
djdemontv,1943
lyncaslol,1796
feizen_cs,1631
brother4ever_gg,1447
gurklyslol,1397
artaa_,1294
iceberg_crusher,1294
fellocs,1287
badgergamingttv,1172
gedastm,1106
austejasubmarinas,1034
ruzl4,1007
pasiklydau,938
taurekasg,831
forzetcs2,769
ponasdark0,765
kalciferis,647
madjon,644
z3un,608
eimantele,460
varnalesalt,414
fitzysfps,390
giliukas,370
xpegasas,306
shwankis,272
thesakalas,256
eastblocktv,196
eyezoff,180
bandite,177
keksiz,134
th3panik,121
paranormal_lt,109
fsusha,108
zyzla,88
poteitas_,80
juotbala,80
wilofi,68
lpatz,65
justaslol,58
leencs2,29
miglesemonaviciute,26
the_disco,24
se7en_ltu,23
sakalass,19
warklot,14
kabeliogenerolas,8
dzeiviss,7
editor_wallhacks,4
burnascs2,1
kliunkis100,1
sokoioco,1
tehxanos,1
yashiro1v9,1
