Streamer,Total Target Messages,Chatter,Chatter Target Messages
bymas,8,4r88,1
bymas,8,abfur,1
bymas,8,avidmatrix,1
dariuscxz,11,ex_blaaze,4
dariuscxz,11,Deerayn_,1
dariuscxz,11,JazzDomas,1
dima_wallhacks,2684,cakezfart,38
dima_wallhacks,2684,ares_twg,36
dima_wallhacks,2684,ewwwtfbruv,34
elthebird,9,Fraibas,3
elthebird,9,TheKaukas,2
elthebird,9,Bandele_is_Lidl,1
hellderis,337,swagescobar,64
hellderis,337,saulenaxui,36
hellderis,337,Gitnis,33
hushxv,7,Twilon_lol,3
hushxv,7,Monpai_,1
hushxv,7,bensefps,1
kerrakatt,8,kamelukk,3
kerrakatt,8,DecaffinatedShrimp,2
kerrakatt,8,MyopicMS,1
knok1zygis,24,domelio,5
knok1zygis,24,Facecameris,4
knok1zygis,24,Eclipse_Alchemy,3
locomotyvas,99,fazebrhuo,11
locomotyvas,99,sutrius3000,5
locomotyvas,99,propfixx,4
lturepublic,92,domelio,8
lturepublic,92,lil_beiza,7
lturepublic,92,ks4nje,6
pauldemiko,39,VietosValdzia,3
pauldemiko,39,1gn3lis,2
pauldemiko,39,Rolic,2
qkiira__,7,swagescobar,5
qkiira__,7,burritoaim,1
qkiira__,7,fango_ohio67,1
sauliuslol,126,labanakt1,9
sauliuslol,126,sauliuslol,8
sauliuslol,126,De1vidas,7
sponsorius,21,Deerayn_,10
sponsorius,21,Kolbasnikas,4
sponsorius,21,Palmezz,2
thexanos,23,Crxshen,4
thexanos,23,Rolic,3
thexanos,23,Inkubatorius,2
vieversys97,8,Poteitas_,2
vieversys97,8,bonkertonas,2
vieversys97,8,draugeska,1
